교육청명,유치원명,설립유형,주소,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,공시차수,경도,위도,X,Y,CLSS
" 서울특별시교육청 "," 나사렛유치원 "," 사립(법인) "," 서울특별시 마포구 매봉산로 24-1 "," 09시30분~19시00분 ",2,2,2,0,0,34,52,46,0,0,20211,126.8903961,37.5743787,946170,1952952,정좌표
" 서울특별시교육청 "," 우리곰유치원 "," 사립(사인) "," 서울특별시 강서구 허준로 23 "," 08시00분~18시30분 ",1,1,1,0,0,19,25,22,0,0,20211,126.8450823,37.5712771,942166,1952635,정좌표
" 서울특별시교육청 "," 희산유치원 "," 사립(사인) "," 서울특별시 노원구 덕릉로 459-18 "," 09시00분~20시00분 ",1,1,1,0,0,10,15,24,0,0,20182,127.0609233,37.6461663,961265,1960833,정좌표
" 서울특별시교육청 "," 동선유치원 "," 사립(법인) "," 서울특별시 성북구 보문로 98 "," 07시40분~20시00분 ",0,0,1,1,0,0,0,9,11,0,20211,127.0203673,37.5840077,957652,1953954,정좌표
" 서울특별시교육청 "," 명덕유치원 "," 사립(사인) "," 서울특별시 성북구 삼양로 74 "," 09시00분~18시00분 ",0,1,1,0,0,0,4,7,0,0,20182,127.0229054,37.6098343,957891,1956818,정좌표
" 서울특별시교육청 "," 녹원유치원 "," 사립(사인) "," 서울특별시 강동구 상암로63길 39-10 "," 09시00분~18시00분 ",3,1,0,0,0,75,31,0,0,0,20211,127.153579,37.5485186,969399,1949965,정좌표
" 서울특별시교육청 "," 서울양목초등학교병설유치원 "," 공립(병설) "," 서울특별시 양천구 목동로11길 30 "," 07시30분~19시30분 ",1,1,2,0,1,15,21,32,0,5,20211,126.8616887,37.5236657,943597,1947343,정좌표
" 서울특별시교육청 "," 세진유치원 "," 사립(사인) "," 서울특별시 양천구 월정로46길 9 "," 09시00분~18시00분 ",1,1,1,0,0,14,19,25,0,0,20192,126.832753,37.5409173,941053,1949274,정좌표
" 서울특별시교육청 "," 신정유치원 "," 사립(사인) "," 서울특별시 양천구 신정로7길 81-4 "," 09시00분~19시00분 ",4,4,3,0,0,66,82,74,0,0,20191,126.8333713,37.5135682,941086,1946240,정좌표
" 서울특별시교육청 "," 동천유치원 "," 사립(사인) "," 서울특별시 영등포구 신길로40길 10 "," 09시00분~18시00분 ",1,1,1,0,0,15,18,24,0,0,20211,126.9122574,37.506536,948053,1945413,정좌표
" 서울특별시교육청 "," 명신유치원 "," 사립(법인) "," 서울특별시 영등포구 신길로41라길 13-9 "," 09시30분~17시30분 ",1,2,2,0,0,16,44,47,0,0,20211,126.9082057,37.5074898,947696,1945521,정좌표
" 서울특별시교육청 "," 윤경유치원 "," 사립(사인) "," 서울특별시 중랑구 숙선옹주로 91 "," 09시30분~20시00분 ",2,2,2,0,0,36,54,46,0,0,20211,127.0847927,37.6162053,963356,1957499,정좌표
" 서울특별시교육청 "," 한양유치원 "," 사립(사인) "," 서울특별시 동대문구 답십리로 184 "," 09시30분~19시00분 ",1,2,2,0,0,8,30,29,0,0,20192,127.0603981,37.5717546,961180,1952577,정좌표
" 서울특별시교육청 "," 양지유치원 "," 사립(사인) "," 서울특별시 금천구 독산로108길 37 "," 09시00분~22시00분 ",0,1,1,0,0,0,22,17,0,0,20192,126.9059872,37.4796901,947480,1942438,정좌표
" 서울특별시교육청 "," 우성유치원 "," 사립(사인) "," 서울특별시 영등포구 도신로 68-1 "," 07시40분~19시40분 ",2,1,1,0,0,28,21,18,0,0,20211,126.9006193,37.5057435,947024,1945332,정좌표
" 서울특별시교육청 "," 서울청룡초등학교병설유치원 "," 공립(병설) "," 서울특별시 관악구 관악로5길 61 "," 07시30분~19시30분 ",1,1,1,0,0,7,14,16,0,0,20211,126.9512119,37.4757031,951476,1941972,정좌표
" 서울특별시교육청 "," 양문유치원 "," 사립(사인) "," 서울특별시 동작구 시흥대로 644-1 "," 07시00분~19시00분 ",1,2,1,0,0,11,34,28,0,0,20211,126.9072881,37.4889649,947602,1943467,정좌표
" 서울특별시교육청 "," 보람유치원 "," 사립(법인) "," 서울특별시 은평구 갈현로4길 42 "," 09시00분~18시30분 ",0,0,1,1,0,0,0,19,19,0,20211,126.9142265,37.6000634,948292,1955788,정좌표
" 서울특별시교육청 "," 성심유치원 "," 사립(법인) "," 서울특별시 성동구 무학로10길 21 "," 09시00분~18시00분 ",1,2,1,0,0,17,33,24,0,0,20211,127.0335849,37.5661319,958809,1951965,정좌표
" 서울특별시교육청 "," 화랑유치원 "," 사립(사인) "," 서울특별시 강동구 천중로35길 37-1 "," 09시00분~18시00분 ",1,0,0,1,0,2,0,0,12,0,20202,127.1377658,37.5429258,968000,1949350,정좌표
" 서울특별시교육청 "," 서울역삼초등학교병설유치원 "," 공립(병설) "," 서울특별시 강남구 강남대로66길 21 "," 07시30분~19시30분 ",0,1,1,0,1,0,13,21,0,4,20211,127.0328903,37.4928441,958708,1943834,정좌표
" 서울특별시교육청 "," 세하유치원 "," 사립(사인) "," 서울특별시 동대문구 장안벚꽃로 107 "," 09시00분~18시00분 ",2,2,2,0,0,38,34,51,0,0,20211,127.0744868,37.5694331,962423,1952314,정좌표
" 서울특별시교육청 "," 서울돈암초등학교병설유치원 "," 공립(병설) "," 서울특별시 성북구 동소문로13길 38 "," 07시30분~20시00분 ",1,1,1,0,0,16,19,24,0,0,20211,127.0127822,37.5933783,956988,1954997,정좌표
" 서울특별시교육청 "," 서울수유초등학교병설유치원 "," 공립(병설) "," 서울특별시 강북구 삼양로74길 39 "," 07시30분~19시30분 ",1,1,1,0,1,3,9,16,0,5,20211,127.02024,37.6308423,957667,1959150,정좌표
" 서울특별시교육청 "," 공항제일유치원 "," 사립(사인) "," 서울특별시 강서구 개화동로23길 100 "," 07시00분~20시00분 ",0,0,0,2,0,0,0,0,49,0,20211,126.810686,37.5652411,939124,1951987,정좌표
" 서울특별시교육청 "," 목동다솜유치원 "," 사립(사인) "," 서울특별시 양천구 월정로9길 23-4 "," 07시00분~22시00분 ",2,2,2,0,0,14,31,26,0,0,20211,126.838771,37.5242536,941572,1947422,정좌표
" 서울특별시교육청 "," 등현유치원 "," 사립(사인) "," 서울특별시 강서구 화곡로63가길 63 "," 08시00분~19시00분 ",3,2,2,0,0,55,48,50,0,0,20211,126.8485276,37.5614625,942463,1951544,정좌표
" 서울특별시교육청 "," 상명사대부속유치원 "," 사립(법인) "," 서울특별시 종로구 홍지문2길 1 "," 08시40분~17시30분 ",2,2,2,0,0,44,52,53,0,0,20211,126.9565733,37.6005715,952030,1955822,정좌표
" 서울특별시교육청 "," 서울덕수초등학교병설유치원 "," 공립(병설) "," 서울특별시 중구 덕수궁길 140 "," 07시00분~20시00분 ",1,2,1,0,0,12,32,24,0,0,20211,126.9745085,37.5686069,953594,1952267,정좌표
" 서울특별시교육청 "," 서울재동초등학교병설유치원 "," 공립(병설) "," 서울특별시 종로구 북촌로4길 7 "," 09시00분~19시40분 ",1,1,1,0,0,8,13,19,0,0,20211,126.985664,37.5798942,954586,1953514,정좌표
" 서울특별시교육청 "," 원유치원 "," 사립(사인) "," 서울특별시 용산구 이촌로81길 14 "," 08시00분~19시00분 ",3,2,2,0,0,66,54,53,0,0,20211,126.9768083,37.5196193,953766,1946831,정좌표
" 서울특별시교육청 "," 유성유치원 "," 사립(사인) "," 서울특별시 용산구 회나무로13가길 16 "," 08시40분~18시00분 ",3,2,2,0,0,30,22,44,0,0,20182,126.9905988,37.5405611,954998,1949148,정좌표
" 서울특별시교육청 "," 청룡유치원 "," 사립(사인) "," 서울특별시 종로구 동망산길 62 "," 09시00분~18시30분 ",0,0,0,1,0,0,0,0,10,0,20211,127.0166573,37.5794176,957322,1953446,정좌표
" 서울특별시교육청 "," 희망찬유치원 "," 사립(법인) "," 서울특별시 성북구 동소문로34길 24 "," 09시00분~20시00분 ",1,2,2,0,0,17,24,34,0,0,20211,127.0238591,37.5992641,957969,1955645,정좌표
" 서울특별시교육청 "," 서울방이초등학교병설유치원 "," 공립(병설) "," 서울특별시 송파구 위례성대로10길 4 "," 07시30분~19시30분 ",1,1,2,0,1,9,16,37,0,4,20211,127.1206206,37.5131637,966472,1946054,정좌표
